# ID  RA  Dec  zRS  Distance 
344  169.61903  -0.83164227  0.04971086  99.6407965566  
345  168.5802003  0.179014951  0.0389127  71.6593747791  
346  169.3870648  -0.187503376  0.0403385  74.5996267794  
347  169.18054  -0.21329928  0.03950331  72.7087618635  
340  163.29867  0.68898537  0.03753402  73.7285260657  
341  165.63888  0.18729682  0.04979068  103.221004192  
342  165.77745  0.19428669  0.04977782  103.045780238  
343  166.00379  0.18201841  0.0496467  102.469423662  
348  169.39836  0.24985604  0.05322418  109.115661435  
349  169.64924  0.41976742  0.02502942  42.5252494541  
298  217.45755  0.66482078  0.05365314  81.3943150761  
299  217.55201  0.33354607  0.03442752  39.1673383672  
296  216.554085  0.860584511  0.0318209  31.2892448115  
297  217.53452  0.70347221  0.05376692  81.5215999921  
294  170.70658  1.2148558  0.03036951  49.5415317655  
295  172.6222  0.49430438  0.02898348  45.2283626301  
292  170.6986642  1.036065289  0.049627  97.5948196049  
293  170.64974  1.1163089  0.03967798  71.0379620343  
290  169.0503083  1.238488811  0.0456985  88.3422995344  
291  169.03888  0.57352981  0.02892305  49.0066217701  
199  209.8421569  0.206611577  0.0328472  30.7355485514  
198  209.529404  -0.392480484  0.0295801  21.5589185785  
195  204.37721  0.47065076  0.0473003  72.934925037  
194  159.05953  -0.1590316  0.02770622  58.4497795381  
197  208.22692  -1.11463  0.004585617  55.0068388297  
196  206.77119  -0.1011332  0.04641291  70.4444438639  
191  156.68114  1.0061399  0.02164586  52.5584623375  
190  156.71832  0.9297195  0.04191952  91.7603691111  
193  157.39755  0.46179901  0.05095989  114.870267366  
192  156.7839431  0.965620647  0.0344383  73.8815541317  
270  159.8352155  -0.20024833  0.0187012  47.7339862052  
271  163.6086897  0.663734092  0.0374336  73.1575001892  
272  163.53433  0.36103057  0.04774925  99.7523211293  
273  163.55068  0.68461593  0.04267079  86.2346400169  
274  163.75347  0.70527865  0.04942285  103.90396297  
275  163.85478  1.0957353  0.05430352  117.062569352  
276  164.30487  0.63860485  0.03928244  76.8964452602  
277  166.24016  1.0382859  0.04345975  85.3071929686  
278  166.6930157  0.256686967  0.0419564  81.2809324628  
279  166.6386492  0.280020659  0.0422501  82.0836185198  
449  194.83362  9.1867377  0.02786058  17.1539546783  
448  194.775694  9.354159251  0.0540704  93.3742770912  
443  194.9251493  8.936742819  0.0469067  72.0856798915  
442  194.9527054  8.932747334  0.0461593  69.8593635062  
441  194.8944203  8.744477753  0.0464191  70.6862655737  
440  195.0372321  8.690933881  0.0462685  70.2160652049  
447  194.7419098  9.31033029  0.0541161  93.5256866296  
446  195.0329742  8.705639953  0.0459641  69.3099413257  
445  194.8417992  8.918790479  0.0466013  71.2025832507  
444  194.9828482  8.784963774  0.0462283  70.0890215595  
108  170.40174  11.737096  0.03988235  68.5781156067  
109  170.30179  11.914746  0.03990047  68.7030978819  
102  166.20796  12.540352  0.04655071  90.4332702579  
103  166.68971  12.474075  0.04543067  86.9294711189  
100  209.2665563  14.68324453  0.0408674  54.2497892189  
101  165.8471595  12.82056085  0.0464123  90.3950943593  
106  170.15801  11.62778  0.04976758  95.5387202801  
107  170.32458  11.555234  0.04155841  73.0539430767  
104  170.59278  11.67013  0.04998963  95.7514340518  
105  170.6689204  12.025576  0.0399321  68.3929775272  
39  161.26331  14.08039671  0.0339008  64.0715439941  
38  161.8339  14.458055  0.0457918  92.7818990145  
33  161.34963  14.612494  0.03764922  72.5736801123  
32  160.9612441  14.01959006  0.0310625  58.4756562716  
31  160.8212751  13.93156159  0.0328551  62.3402450505  
30  160.8344088  14.32536206  0.0322947  61.1037277174  
37  161.022216  14.00327745  0.0352491  67.381445255  
36  161.2032715  14.23038354  0.0326414  61.4089888963  
35  161.0601755  14.10478203  0.0346723  66.0211305164  
34  161.0863555  14.08446936  0.0325914  61.4550879386  
438  193.2078087  7.132156553  0.0500429  82.2845623734  
439  195.01156  9.4081282  0.05435732  94.1698872346  
436  171.14913  14.414367  0.05186565  100.279058607  
437  193.22779  7.3462331  0.0509332  84.8622709267  
434  169.45238  13.727665  0.0247841  38.3421200372  
435  170.8139936  13.39124556  0.0385303  64.4967522148  
432  169.41408  13.3756  0.04703936  88.5041139607  
433  169.78795  13.548655  0.05089158  98.8231727909  
430  163.90292  14.234473  0.03336952  59.8282281718  
431  164.73001  14.840498  0.03330055  58.6745158952  
339  163.24084  0.54163368  0.03930984  78.163790936  
338  163.1191759  1.061449611  0.039029  77.3866250157  
335  162.5414  0.13758415  0.0501174  107.264679609  
334  162.5257055  0.333251406  0.0403292  81.5592059908  
337  163.32974  1.0526373  0.03730441  72.9908520515  
336  162.4952197  0.32230278  0.0389986  78.3127839842  
331  162.4774224  0.159077953  0.0389644  78.3195770601  
330  162.4215071  0.363097599  0.0386683  77.571395306  
333  162.5949443  0.236391851  0.0394239  79.283271835  
332  162.7165467  0.589277063  0.0391623  78.3555238745  
6  150.67464  12.624392  0.05337581  125.722253147  
99  209.2309  14.142252  0.01502278  24.237598046  
98  209.26866  13.853857  0.03915674  49.2073248564  
91  208.875945  14.80289836  0.0396032  50.3825802817  
90  208.7811315  13.87639404  0.0399999  51.5071914553  
93  208.9511655  14.71397434  0.0407831  53.8873886444  
92  208.8905232  14.76463503  0.0408058  53.9344018991  
95  208.9693485  14.37844598  0.0404303  52.8455489508  
94  208.99228  14.061553  0.04063144  53.4457644388  
97  208.9955575  13.86135977  0.0388879  48.3110437407  
96  208.9946991  14.3871706  0.0516907  82.4399625701  
238  153.35722  -0.78170171  0.04228243  97.1628662692  
239  153.4002  -0.62366728  0.04664776  108.25061493  
234  150.62846  0.30728894  0.03367684  79.5824595482  
235  150.356  0.83320353  0.04603692  109.588949694  
236  150.51703  0.6875303  0.04514595  107.151882417  
237  153.357  -0.90982736  0.04168135  95.7099603504  
230  149.77315  1.204926  0.0463249  110.878134025  
231  150.59395  0.55864539  0.04419884  104.679883301  
232  150.69088  0.53051483  0.0449676  106.549225046  
233  150.63229  0.26111798  0.04374476  103.586905982  
1  150.52024  12.443217  0.05366315  126.708178404  
146  235.3982548  28.04960626  0.0318915  17.3965554267  
147  235.4797528  28.12257583  0.032089  17.4120591385  
144  235.4100742  28.3204649  0.0325989  17.8105442037  
145  235.4278182  28.0710148  0.0333929  19.1247943857  
142  235.4968314  28.24033537  0.0325928  17.8039463853  
143  235.4320643  28.34549891  0.0327561  17.9533852444  
140  235.1249974  28.36570847  0.0299841  16.6174441309  
141  235.2497787  28.14537995  0.0319775  17.5154278572  
148  235.4336427  28.28682284  0.0331135  18.4875565078  
149  235.3441205  28.22975358  0.0320883  17.4291774711  
133  232.42285  28.522239  0.03491478  24.2336454153  
132  181.80182  12.534211  0.04242659  65.0960235111  
131  182.08142  11.503098  0.03028794  33.2671707786  
130  182.0128433  11.23847042  0.0317114  36.6558934312  
137  235.2531365  28.32304918  0.0322266  17.556024168  
136  235.1526536  28.51245801  0.0327536  18.0545290666  
135  231.812807  28.78899215  0.0343554  23.6965988056  
134  232.70022  28.545729  0.03491834  23.932715818  
494  199.2180113  7.259741508  0.0506123  82.8576620693  
495  199.31523  9.4339433  0.05201843  86.5782744601  
139  235.1338609  28.33734765  0.0310897  16.8185146316  
138  235.2149683  28.34102606  0.0328793  18.3315333429  
490  199.1324856  7.000246947  0.0494092  79.2936109198  
491  199.1535746  7.015194549  0.0474542  73.4416845312  
492  199.2601013  7.166195511  0.0478118  74.4920558862  
493  199.1926557  7.219286362  0.050799  83.4267885965  
24  159.150012  13.31283938  0.0328305  64.3227402505  
25  159.10364  13.140859  0.03406547  67.0675400473  
26  159.0470709  13.17369376  0.0333956  65.670108516  
27  158.78872  12.667809  0.05496475  121.183375845  
20  157.2250817  12.62964658  0.0331134  67.2855066229  
21  157.7871275  13.09706542  0.0547657  121.639383206  
22  157.05737  12.970843  0.03194307  64.983821221  
23  159.1153064  13.31595509  0.0329067  64.5248140406  
28  158.4582498  12.87834248  0.0252134  51.6647232125  
29  158.49858  13.357545  0.04755868  101.214843561  
407  167.51747  -0.56651676  0.03963303  74.9123535882  
406  168.23431  -0.90985576  0.03961598  74.2991139038  
405  168.0196835  0.267972818  0.0399589  74.8164207416  
404  167.6808421  1.227744848  0.037714  69.1700848648  
403  167.65884  0.89113194  0.02513688  44.6030938854  
402  167.79204  0.62517505  0.02505315  44.4796130224  
401  167.17042  0.3917855  0.02531278  45.5991960198  
400  167.2849923  0.707279979  0.0385487  71.8672935864  
409  167.86325  -0.28913822  0.04114856  78.2585092212  
408  167.5856408  -0.12230257  0.0482534  97.2581173146  
379  163.0620833  -0.955501958  0.0489904  104.139732199  
378  161.96128  -0.790182  0.05221032  113.957359854  
371  162.3581  -0.56017127  0.05014241  107.81197508  
370  159.2390341  0.229750592  0.0292244  60.7482501513  
373  162.630147  -0.797703001  0.0376332  75.3657839921  
372  162.4400757  -0.838954119  0.0378281  76.0595331033  
375  162.22865  -0.70932096  0.02603709  52.539307299  
374  162.20423  -0.98736956  0.02614697  52.8539646048  
377  162.4655204  0.164234732  0.0395191  79.6907777001  
376  162.3536057  -0.429883596  0.0385065  77.6023675057  
393  164.6316869  0.904620889  0.0400991  78.4575171129  
392  164.5735743  1.141858389  0.0398795  77.8709532037  
88  206.7723245  14.64439605  0.0427561  59.0817246195  
89  208.7116931  14.13621663  0.0510103  81.4963980239  
397  164.8243906  1.153475354  0.0394856  76.6158391902  
396  164.97371  1.0960023  0.04985098  103.676779371  
395  164.13822  0.54568762  0.03828512  74.67747992  
394  164.12939  0.55886399  0.03806753  74.1543412457  
82  205.55326  12.920534  0.04110489  53.9039014279  
181  151.6278849  1.141139409  0.0455989  106.880537028  
80  203.9266454  13.33090812  0.0427826  58.6297243736  
81  205.62648  12.860405  0.0356552  37.7107123558  
86  206.06191  13.871473  0.02162695  6.0693420783  
87  206.25786  13.331248  0.04744174  72.9470048466  
84  205.35374  13.856  0.0239013  5.26893994421  
85  205.3207091  13.77546726  0.04523  66.1515037979  
7  150.9450838  13.39447837  0.0427363  97.243019098  
245  153.50979  -0.89166156  0.0448721  103.623574554  
244  153.5832348  -0.858475159  0.0495739  115.866255252  
247  153.64283  -0.83699538  0.04470693  103.025885659  
246  153.47269  -0.87664087  0.0467645  108.573743264  
241  152.79113  -0.39943123  0.04664793  108.852979512  
240  153.16802  -1.0616722  0.04451234  103.153613562  
243  152.71324  -0.64513111  0.04348949  100.893550368  
242  152.74167  -0.50283064  0.04600343  107.269557972  
249  155.269544  0.68240886  0.0540924  125.63128686  
248  153.93947  0.27631266  0.04546872  104.224080165  
458  195.1927579  7.490448078  0.0482822  76.4515926408  
459  195.67555  8.1645224  0.04883288  77.8168165283  
450  194.727564  9.300917651  0.0540042  93.1967682958  
451  194.56968  8.8575768  0.02750339  16.616039148  
452  194.60374  9.1183293  0.04592363  69.208781582  
453  194.6774523  9.217112514  0.0454653  67.8086862858  
454  194.0944756  9.310431146  0.0536172  92.1899605467  
455  194.68901  9.1524996  0.0462953  70.2832979803  
456  194.6630749  9.243823054  0.0449522  66.2843401287  
457  194.46178  10.707208  0.03715014  43.0101226012  
179  150.97825  0.5826932  0.044733  105.596262754  
178  151.11289  0.5240058  0.04661307  110.329403008  
177  151.03892  0.4248744  0.0476416  113.142778159  
176  151.05978  0.50810176  0.04614044  109.165728749  
175  151.09574  0.51823716  0.0481279  114.323812295  
174  151.08344  0.47663764  0.04550909  107.513676048  
173  150.98446  0.81661237  0.04620731  109.314361769  
172  151.17015  0.36990042  0.04458822  105.081750945  
171  151.0909  0.53420176  0.04717308  111.814484294  
170  151.29172  -1.1362513  0.04635897  110.089712833  
182  152.13042  0.35665617  0.03297864  76.3259034561  
183  154.79134  0.13396091  0.04607654  104.89705329  
180  152.19924  -0.2698308  0.04523472  105.806123978  
2  150.3962328  12.76496611  0.0209562  55.5845508036  
186  155.47169  0.29534091  0.02148222  53.8675880989  
187  155.46497  0.41011418  0.02134296  53.7033795545  
184  155.164213  0.002278444  0.0533902  124.081804133  
185  154.9279636  0.952993809  0.0531495  123.3320813  
188  155.29591  0.03058956  0.0540349  125.68831384  
189  156.85423  1.2417612  0.02206458  52.6993588742  
11  153.87437  13.059055  0.04035212  87.9342924037  
