# ID  RA  Dec  zRS  
2  150.3962328  12.76496611  0.0209562  
3  150.7656114  12.94995216  0.0356539  
7  150.9450838  13.39447837  0.0427363  
10  153.7129031  13.33870279  0.0391514  
16  156.058002  12.22490948  0.0534972  
18  157.2456907  12.4508376  0.0322406  
19  157.2294183  12.57999631  0.0331347  
20  157.2250817  12.62964658  0.0331134  
21  157.7871275  13.09706542  0.0547657  
23  159.1153064  13.31595509  0.0329067  
24  159.150012  13.31283938  0.0328305  
26  159.0470709  13.17369376  0.0333956  
28  158.4582498  12.87834248  0.0252134  
30  160.8344088  14.32536206  0.0322947  
31  160.8212751  13.93156159  0.0328551  
32  160.9612441  14.01959006  0.0310625  
34  161.0863555  14.08446936  0.0325914  
35  161.0601755  14.10478203  0.0346723  
36  161.2032715  14.23038354  0.0326414  
37  161.022216  14.00327745  0.0352491  
39  161.26331  14.08039671  0.0339008  
40  161.2197667  14.30747137  0.0327811  
41  161.3669501  14.27325254  0.0335246  
45  234.7788313  9.296145808  0.0438573  
46  234.45206  9.316038272  0.0350799  
49  234.4077204  9.314863336  0.0351072  
50  236.8653134  8.32118623  0.0412666  
56  237.1960168  9.524059801  0.040181  
58  236.9937958  9.159131246  0.0389804  
59  237.032786  9.167134235  0.0390495  
60  236.9352739  9.017959863  0.051357  
61  237.0230599  9.118071437  0.0417945  
62  237.4783863  9.82865051  0.0458336  
64  237.0972352  9.105044543  0.041736  
65  237.068204  9.115921767  0.041717  
67  238.2473387  8.016475108  0.0410322  
78  203.9853986  13.34304739  0.0424086  
79  203.9562772  13.41753395  0.0422558  
80  203.9266454  13.33090812  0.0427826  
85  205.3207091  13.77546726  0.04523  
88  206.7723245  14.64439605  0.0427561  
89  208.7116931  14.13621663  0.0510103  
90  208.7811315  13.87639404  0.0399999  
91  208.875945  14.80289836  0.0396032  
92  208.8905232  14.76463503  0.0408058  
93  208.9511655  14.71397434  0.0407831  
95  208.9693485  14.37844598  0.0404303  
96  208.9946991  14.3871706  0.0516907  
97  208.9955575  13.86135977  0.0388879  
100  209.2665563  14.68324453  0.0408674  
101  165.8471595  12.82056085  0.0464123  
105  170.6689204  12.025576  0.0399321  
110  169.9242214  11.99014083  0.0398083  
112  171.8816034  12.14287749  0.0459582  
115  175.4361058  12.49364471  0.0341751  
116  175.4787319  12.50853456  0.0344976  
121  180.1191017  12.04246997  0.0432519  
122  180.209263  12.16763034  0.0401106  
123  180.2730363  11.84015129  0.0437855  
124  180.1088559  11.99591248  0.0438374  
127  180.0984568  11.93500481  0.0435647  
130  182.0128433  11.23847042  0.0317114  
135  231.812807  28.78899215  0.0343554  
