# ID  RA  Dec  zRS  
216  149.44456  0.67282345  0.04660738  
217  149.37023  0.58818421  0.04639048  
153  146.32958  -0.30622363  0.03645184  
215  149.53812  0.60086726  0.04669769  
154  146.05733  -0.097030167  0.03673035  
157  146.8068  0.66563514  0.0200758  
159  148.76194  0.75748407  0.04713756  
353  171.06254  0.41889841  0.03966612  
228  150.03877  0.19701772  0.04675085  
191  156.68114  1.0061399  0.02164586  
214  147.89718  0.43473978  0.02063313  
234  150.62846  0.30728894  0.03367684  
239  153.4002  -0.62366728  0.04664776  
179  150.97825  0.5826932  0.044733  
178  151.11289  0.5240058  0.04661307  
177  151.03892  0.4248744  0.0476416  
176  151.05978  0.50810176  0.04614044  
175  151.09574  0.51823716  0.0481279  
398  167.16509  0.28432082  0.02485563  
173  150.98446  0.81661237  0.04620731  
172  151.17015  0.36990042  0.04458822  
171  151.0909  0.53420176  0.04717308  
233  150.63229  0.26111798  0.04374476  
213  147.89586  1.1120728  0.02054176  
251  156.14897  1.1098312  0.02170384  
210  145.72946  0.12689565  0.03669919  
473  199.73276  6.5616922  0.04008407  
230  149.77315  1.204926  0.0463249  
44  163.71981  14.423955  0.03323443  
416  171.3441  -0.12091952  0.029541  
231  150.59395  0.55864539  0.04419884  
429  163.70822  14.124429  0.0327373  
403  167.65884  0.89113194  0.02513688  
402  167.79204  0.62517505  0.02505315  
342  165.77745  0.19428669  0.04977782  
343  166.00379  0.18201841  0.0496467  
421  215.97523  -0.98393717  0.05239152  
186  155.47169  0.29534091  0.02148222  
189  156.85423  1.2417612  0.02206458  
425  215.94452  -0.66410701  0.05255749  
424  216.00782  -0.77357037  0.052235  
187  155.46497  0.41011418  0.02134296  
235  150.356  0.83320353  0.04603692  
401  167.17042  0.3917855  0.02531278  
174  151.08344  0.47663764  0.04550909  
341  165.63888  0.18729682  0.04979068  
245  153.50979  -0.89166156  0.0448721  
247  153.64283  -0.83699538  0.04470693  
246  153.47269  -0.87664087  0.0467645  
241  152.79113  -0.39943123  0.04664793  
240  153.16802  -1.0616722  0.04451234  
232  150.69088  0.53051483  0.0449676  
242  152.74167  -0.50283064  0.04600343  
227  150.08477  0.50597453  0.03316718  
226  150.13205  0.54897864  0.03252227  
225  150.06597  0.51724897  0.03290574  
483  199.2907  7.1625574  0.05303094  
222  149.91553  0.54105659  0.04483392  
221  149.70775  0.16144659  0.04730976  
480  199.35533  6.8809183  0.05308791  
220  149.64744  0.57001104  0.04577184  
165  150.51385  -0.21379652  0.04516219  
229  150.08223  0.4782499  0.04612698  
166  150.47062  -0.12517918  0.03283051  
236  150.51703  0.6875303  0.04514595  
356  171.90895  0.66418945  0.0291669  
164  150.44232  -0.21109708  0.03312969  
417  171.41658  -0.066802983  0.04012571  
476  199.70215  6.94319  0.05352129  
477  199.47355  6.9653348  0.04040961  
475  199.52506  6.8044252  0.04019268  
160  148.97539  0.33293438  0.04747811  
295  172.6222  0.49430438  0.02898348  
293  170.64974  1.1163089  0.03967798  
430  163.90292  14.234473  0.03336952  
431  164.73001  14.840498  0.03330055  
