# ID  RA  Dec  zRS  
212  147.51314  0.71902039  0.03094283  
219  149.55064  0.23722537  0.03502265  
133  232.42285  28.522239  0.03491478  
132  181.80182  12.534211  0.04242659  
131  182.08142  11.503098  0.03028794  
499  171.49502  15.504376  0.0280097  
134  232.70022  28.545729  0.03491834  
495  199.31523  9.4339433  0.05201843  
496  199.35604  9.3221962  0.02196513  
497  172.04178  14.690255  0.03778081  
25  159.10364  13.140859  0.03406547  
27  158.78872  12.667809  0.05496475  
22  157.05737  12.970843  0.03194307  
29  158.49858  13.357545  0.04755868  
161  149.041  0.32583021  0.03545549  
344  169.61903  -0.83164227  0.04971086  
406  168.23431  -0.90985576  0.03961598  
347  169.18054  -0.21329928  0.03950331  
340  163.29867  0.68898537  0.03753402  
4  150.85092  12.957766  0.03518408  
281  170.0444  -0.27544492  0.0400801  
8  150.87304  13.103323  0.02772479  
282  168.98102  -0.773836  0.02725009  
285  168.86029  0.26984368  0.04394962  
284  168.74148  0.48968267  0.04916326  
409  167.86325  -0.28913822  0.04114856  
286  168.84205  0.11539415  0.02736283  
120  179.58032  11.390988  0.03551906  
262  212.13171  -0.12704596  0.02506297  
125  179.3251  11.655885  0.02130377  
126  179.75317  12.083806  0.03668709  
128  181.92463  12.04864  0.02998388  
129  181.79769  12.454114  0.04251354  
269  159.79762  -0.015888204  0.04991302  
423  215.84445  -0.93197744  0.0545384  
55  237.09703  9.837839  0.04008262  
54  237.16106  9.817032  0.05111079  
57  237.04894  9.0734947  0.03926871  
51  237.13583  8.5879281  0.01426534  
53  237.07242  9.3985044  0.04042561  
52  237.11744  9.5355789  0.03693713  
414  171.97675  -1.2257048  0.04205796  
415  171.10893  -0.42707792  0.04872853  
63  237.29432  10.052189  0.05116936  
410  170.5812  -0.62087663  0.0401581  
411  170.3728  -0.58885009  0.04991531  
298  217.45755  0.66482078  0.05365314  
299  217.55201  0.33354607  0.03442752  
371  162.3581  -0.56017127  0.05014241  
297  217.53452  0.70347221  0.05376692  
294  170.70658  1.2148558  0.03036951  
361  216.40848  1.0126345  0.05472433  
375  162.22865  -0.70932096  0.02603709  
374  162.20423  -0.98736956  0.02614697  
291  169.03888  0.57352981  0.02892305  
319  225.2025  0.4923975  0.04256609  
68  238.71564  7.9489673  0.04503428  
195  204.37721  0.47065076  0.0473003  
194  159.05953  -0.1590316  0.02770622  
197  208.22692  -1.11463  0.004585617  
196  206.77119  -0.1011332  0.04641291  
190  156.71832  0.9297195  0.04191952  
193  157.39755  0.46179901  0.05095989  
114  173.61821  12.451974  0.04124846  
117  176.39602  12.204941  0.0309458  
273  163.55068  0.68461593  0.04267079  
111  172.10508  12.158667  0.04601798  
275  163.85478  1.0957353  0.05430352  
113  173.73674  13.008795  0.03438968  
277  166.24016  1.0382859  0.04345975  
82  205.55326  12.920534  0.04110489  
83  205.19775  14.024836  0.04265201  
399  167.14663  0.21605911  0.04209985  
81  205.62648  12.860405  0.0356552  
119  178.74228  12.835974  0.05459871  
87  206.25786  13.331248  0.04744174  
84  205.35374  13.856  0.0239013  
378  161.96128  -0.790182  0.05221032  
428  215.96583  0.83114803  0.03854642  
367  216.88066  -0.59100022  0.04957435  
364  217.44188  -0.15240642  0.03010685  
365  217.34472  -0.82754393  0.04808114  
427  215.77429  0.81062074  0.05380911  
426  215.68321  -1.0286977  0.03876558  
308  216.81292  0.93109224  0.05225234  
449  194.83362  9.1867377  0.02786058  
412  170.89598  -0.090130957  0.04832833  
300  217.56241  0.62139459  0.0262329  
302  216.81064  0.99033868  0.05238415  
413  170.63028  -0.017128795  0.04074237  
306  217.30666  1.0717938  0.03689209  
307  218.90785  -1.0294385  0.03835317  
380  162.98346  -0.41749728  0.04805402  
108  170.40174  11.737096  0.03988235  
109  170.30179  11.914746  0.03990047  
385  162.73436  -0.79789964  0.03755802  
243  152.71324  -0.64513111  0.04348949  
102  166.20796  12.540352  0.04655071  
103  166.68971  12.474075  0.04543067  
106  170.15801  11.62778  0.04976758  
107  170.32458  11.555234  0.04155841  
104  170.59278  11.67013  0.04998963  
38  161.8339  14.458055  0.0457918  
33  161.34963  14.612494  0.03764922  
419  171.46708  -0.92255555  0.04103979  
439  195.01156  9.4081282  0.05435732  
436  171.14913  14.414367  0.05186565  
437  193.22779  7.3462331  0.0509332  
434  169.45238  13.727665  0.0247841  
432  169.41408  13.3756  0.04703936  
433  169.78795  13.548655  0.05089158  
459  195.67555  8.1645224  0.04883288  
339  163.24084  0.54163368  0.03930984  
335  162.5414  0.13758415  0.0501174  
451  194.56968  8.8575768  0.02750339  
452  194.60374  9.1183293  0.04592363  
455  194.68901  9.1524996  0.0462953  
457  194.46178  10.707208  0.03715014  
388  162.65328  -0.83108198  0.03768215  
259  209.27672  0.75954513  0.04869257  
66  238.32741  7.5582389  0.04336397  
252  205.42577  0.63591717  0.04894651  
69  238.82808  7.8408122  0.05057342  
256  210.68384  -0.58758386  0.05433095  
254  206.80646  -0.67132914  0.04749686  
255  210.90651  -0.1400138  0.04798348  
407  167.51747  -0.56651676  0.03963303  
272  163.53433  0.36103057  0.04774925  
183  154.79134  0.13396091  0.04607654  
248  153.93947  0.27631266  0.04546872  
182  152.13042  0.35665617  0.03297864  
313  220.94264  0.71789708  0.0503807  
180  152.19924  -0.2698308  0.04523472  
312  220.83067  1.1713897  0.04977832  
188  155.29591  0.03058956  0.0540349  
310  219.37553  -0.84073512  0.05070959  
469  197.58893  7.9527695  0.04566316  
468  197.63555  8.5085688  0.03241227  
6  150.67464  12.624392  0.05337581  
99  209.2309  14.142252  0.01502278  
98  209.26866  13.853857  0.03915674  
168  151.56104  -0.98272919  0.04583225  
315  223.39813  -0.4365642  0.04227361  
167  151.64216  -0.88433315  0.04341146  
223  149.65731  0.87075168  0.03902926  
94  208.99228  14.061553  0.04063144  
162  150.01692  -0.58805614  0.04600773  
163  150.00945  -1.0622464  0.04609136  
11  153.87437  13.059055  0.04035212  
13  154.1604  13.852258  0.04822463  
12  154.24554  13.399298  0.03245738  
15  154.53419  12.743342  0.04880247  
14  154.36828  12.897772  0.04886701  
17  155.96871  12.113635  0.04909367  
348  169.39836  0.24985604  0.05322418  
391  164.35813  -0.71444173  0.05399065  
349  169.64924  0.41976742  0.02502942  
390  164.30684  -0.8317685  0.03855626  
274  163.75347  0.70527865  0.04942285  
396  164.97371  1.0960023  0.04985098  
151  242.18759  24.20484  0.04089347  
150  242.74847  24.435982  0.03360607  
276  164.30487  0.63860485  0.03928244  
158  146.79909  0.70274154  0.03053254  
394  164.12939  0.55886399  0.03806753  
238  153.35722  -0.78170171  0.04228243  
237  153.357  -0.90982736  0.04168135  
48  234.68536  9.6142779  0.04389695  
86  206.06191  13.871473  0.02162695  
42  161.27916  14.313288  0.03736692  
43  164.40662  14.941084  0.04787067  
395  164.13822  0.54568762  0.03828512  
118  178.68803  12.959344  0.05462075  
322  159.92876  -0.70793702  0.02719358  
323  160.44369  -0.60057035  0.03641907  
320  158.37111  -0.86040846  0.04044293  
321  159.85805  -1.2451182  0.03944447  
5  150.89093  12.694514  0.02275996  
9  150.96902  12.883048  0.05220002  
170  151.29172  -1.1362513  0.04635897  
203  210.79911  -0.97482068  0.0247677  
205  211.1292  -0.75622125  0.0540957  
204  210.92707  -1.1373815  0.02694167  
206  211.10827  -0.35614922  0.04756837  
209  145.80019  0.41417226  0.02524959  
208  145.89356  1.0284222  0.05329375  
350  170.10672  1.0668276  0.02303798  
77  204.59937  14.026876  0.0430956  
74  200.15847  14.592569  0.02953613  
73  242.11786  7.4567608  0.03345593  
72  242.13001  6.3561222  0.04939973  
71  241.10945  8.6358774  0.04181174  
70  238.88732  7.3811851  0.04464837  
263  212.02417  -0.1941604  0.05358892  
357  215.61509  0.059059204  0.03167036  
1  150.52024  12.443217  0.05366315  
474  199.72198  6.5886549  0.04952318  
47  234.60483  9.6409866  0.05480984  
337  163.32974  1.0526373  0.03730441  
359  216.5748  0.15433  0.05433347  
266  211.68879  -0.59641286  0.05274726  
