# ID  RA  Dec  zRS  ENVIRONMENT  
344  169.61903  -0.83164227  0.04971086  4  
345  168.58018  0.17899607  0.03891266  1  
346  169.38707  -0.18750165  0.04033846  1  
347  169.18054  -0.21329928  0.03950331  4  
340  163.29867  0.68898537  0.03753402  4  
341  165.63888  0.18729682  0.04979068  3  
342  165.77745  0.19428669  0.04977782  3  
343  166.00379  0.18201841  0.0496467  3  
348  169.39836  0.24985604  0.05322418  4  
349  169.64924  0.41976742  0.02502942  4  
298  217.45755  0.66482078  0.05365314  4  
299  217.55201  0.33354607  0.03442752  4  
296  216.55409  0.86058722  0.03182086  1  
297  217.53452  0.70347221  0.05376692  4  
294  170.70658  1.2148558  0.03036951  4  
295  172.6222  0.49430438  0.02898348  4  
292  170.69868  1.0360298  0.04962702  1  
293  170.64974  1.1163089  0.03967798  4  
290  169.05027  1.2384881  0.04569846  1  
291  169.03888  0.57352981  0.02892305  4  
199  209.84218  0.20659572  0.03284724  1  
198  209.52939  -0.39245012  0.02957562  1  
195  204.37721  0.47065076  0.0473003  4  
194  159.05953  -0.1590316  0.02770622  4  
197  208.22692  -1.11463  0.004585617  4  
196  206.77119  -0.1011332  0.04641291  4  
191  156.68114  1.0061399  0.02164586  4  
190  156.71832  0.9297195  0.04191952  4  
193  157.39755  0.46179901  0.05095989  4  
192  156.78395  0.9656361  0.03443834  1  
270  159.83522  -0.20025624  0.01870119  1  
271  163.6087  0.66373778  0.03743362  1  
272  163.53433  0.36103057  0.04774925  4  
273  163.55068  0.68461593  0.04267079  4  
274  163.75347  0.70527865  0.04942285  4  
275  163.85478  1.0957353  0.05430352  4  
276  164.30487  0.63860485  0.03928244  4  
277  166.24016  1.0382859  0.04345975  4  
278  166.69301  0.25667317  0.04195643  1  
279  166.63863  0.28000707  0.0422501  1  
449  194.83362  9.1867377  0.02786058  4  
448  194.77569  9.3541668  0.05407038  1  
443  194.92515  8.9367422  0.04690668  1  
442  194.9527  8.9327474  0.04615933  1  
441  194.89442  8.7444898  0.04641908  1  
440  195.03723  8.6909371  0.04626846  1  
447  194.7419  9.3103387  0.0541161  1  
446  195.03297  8.7056432  0.04596407  1  
445  194.8418  8.9187841  0.0466013  1  
444  194.98285  8.7849671  0.04622834  1  
108  170.40174  11.737096  0.03988235  4  
109  170.30179  11.914746  0.03990047  4  
102  166.20796  12.540352  0.04655071  4  
103  166.68971  12.474075  0.04543067  4  
100  209.26655  14.683241  0.04086737  1  
101  165.84716  12.820571  0.04641227  1  
106  170.15801  11.62778  0.04976758  4  
107  170.32458  11.555234  0.04155841  4  
104  170.59278  11.67013  0.04998963  4  
105  170.66894  12.025584  0.03993211  1  
39  161.26336  14.080393  0.03390081  1  
38  161.8339  14.458055  0.0457918  4  
33  161.34963  14.612494  0.03764922  4  
32  160.9613  14.019594  0.03106246  1  
31  160.82129  13.931561  0.03285506  1  
30  160.83437  14.325378  0.03229474  1  
37  161.02227  14.003279  0.03524906  1  
36  161.20326  14.230391  0.03264144  1  
35  161.06023  14.104785  0.03467226  1  
34  161.08641  14.084471  0.03259145  1  
438  193.20783  7.1321637  0.05004293  1  
439  195.01156  9.4081282  0.05435732  4  
436  171.14913  14.414367  0.05186565  4  
437  193.22779  7.3462331  0.0509332  4  
434  169.45238  13.727665  0.0247841  4  
435  170.81401  13.391258  0.03853027  1  
432  169.41408  13.3756  0.04703936  4  
433  169.78795  13.548655  0.05089158  4  
430  163.90292  14.234473  0.03336952  4  
431  164.73001  14.840498  0.03330055  4  
339  163.24084  0.54163368  0.03930984  4  
338  163.1192  1.0614186  0.03902899  1  
335  162.5414  0.13758415  0.0501174  4  
334  162.52569  0.33325977  0.04032925  1  
337  163.32974  1.0526373  0.03730441  4  
336  162.49522  0.32230856  0.03899863  1  
331  162.47744  0.15903767  0.03896445  1  
330  162.4215  0.3631152  0.03866832  1  
333  162.59494  0.23637702  0.03942392  1  
332  162.71656  0.58929842  0.03916226  1  
6  150.67464  12.624392  0.05337581  4  
99  209.2309  14.142252  0.01502278  4  
98  209.26866  13.853857  0.03915674  4  
91  208.87595  14.802912  0.03960323  1  
90  208.78116  13.876396  0.03999992  1  
93  208.95117  14.71398  0.04078306  1  
92  208.89052  14.764647  0.04080578  1  
95  208.96931  14.37845  0.04043034  1  
94  208.99228  14.061553  0.04063144  4  
97  208.9956  13.86136  0.03888792  1  
96  208.99466  14.387174  0.05169075  1  
238  153.35722  -0.78170171  0.04228243  4  
239  153.4002  -0.62366728  0.04664776  4  
234  150.62846  0.30728894  0.03367684  4  
235  150.356  0.83320353  0.04603692  4  
