# grpID  RA  Dec  zRS  
45  244.45383942  35.06829973  0.03073811  
79  202.33851612  11.52678164  0.02276582  
68  245.54181246  37.92857939  0.03138822  
152  201.04960579  13.98094786  0.02328985  
2  240.60403649  16.15448369  0.03632801  
4  247.02147661  40.77155636  0.03065893  
290  205.0424527  4.78810719  0.02310266  
6  241.4684631  17.95403226  0.03710097  
5  247.12122516  39.46222129  0.03026749  
297  240.88142206  14.78649715  0.03595892  
241  203.32594351  7.35547967  0.02307437  
484  241.85667439  13.95367599  0.03447468  
496  250.4075169  39.57844475  0.03016991  
