# grpID  RA  Dec  zRS  
1  194.81057519  27.94659213  0.0241102  
2  240.60403649  16.15448369  0.03632801  
3  176.10202461  19.9954012  0.02190034  
4  247.02147661  40.77155636  0.03065893  
5  247.12122516  39.46222129  0.03026749  
6  241.4684631  17.95403226  0.03710097  
7  167.62843336  28.40667654  0.03327441  
9  223.26336032  16.81736398  0.04497201  
10  241.41692585  16.11945182  0.0430019  
13  230.39574495  20.83036161  0.04043118  
14  228.07691277  7.4715347  0.04507383  
15  181.11979456  20.45737047  0.02356525  
17  230.89150575  8.67255783  0.03480983  
19  216.69254378  16.7172892  0.05344759  
21  234.91665838  21.72496294  0.0413941  
22  220.13601298  3.51130349  0.02719488  
24  229.20730928  7.08067823  0.03499045  
28  207.2679092  26.65769823  0.06288048  
31  169.1260703  29.26969813  0.04691368  
33  127.20299803  30.49639824  0.04992559  
35  140.0038231  33.7493679  0.02295024  
36  176.34810339  33.29787848  0.03212179  
37  164.66374154  1.55545099  0.03964004  
39  214.43843879  8.17904615  0.05752777  
40  226.14331689  28.45044329  0.05820113  
42  223.61461005  18.59242879  0.05836627  
45  244.45383942  35.06829973  0.03073811  
49  214.31729164  1.98895429  0.05399542  
51  230.41261962  7.68618321  0.04478938  
54  178.12115138  20.76654033  0.02226616  
58  170.43157578  2.83797238  0.04917915  
64  181.13831057  1.87509481  0.02064937  
66  229.5169155  4.50319994  0.03647393  
68  245.54181246  37.92857939  0.03138822  
71  200.14412913  33.20825949  0.03663462  
76  233.13295227  4.72883269  0.03859487  
77  208.23238761  25.02475687  0.02981335  
78  182.13049646  25.27092633  0.02243798  
79  202.33851612  11.52678164  0.02276582  
81  203.51743574  34.67395845  0.02474676  
85  181.65583793  28.13501816  0.02803858  
88  228.12681314  4.48872079  0.03670502  
91  222.11743259  11.27292931  0.05185996  
92  186.549049  31.20092595  0.06048372  
95  125.12981361  21.07964949  0.01600045  
96  196.00013998  19.26387294  0.06374287  
101  165.20757797  10.38303697  0.0355939  
102  241.49135422  33.31442231  0.05991684  
